filename,L_value,category,r,g,b,rgb_hex
2022_A_Cozy_Christmas_Inn_woman-removebg-preview.png,58.411491107449606,Medium Light,210,115,69,#d27345
2022_All_Saints_Christmas_man-removebg-preview.png,60.02934712082683,Medium Light,197,128,96,#c58060
2022_A_Cozy_Christmas_Inn_man-removebg-preview.png,60.427211649791346,Medium Light,216,120,79,#d8784f
2016_Operation_Christmas_man-removebg-preview.png,61.65825805628869,Medium Light,187,138,116,#bb8a74
2018_A_Gingerbread_Romance_man-removebg-preview.png,64.47328186075177,Medium Light,195,145,127,#c3917f
2020_Christmas_Waltz_man-removebg-preview.png,72.73980284658074,Light,228,164,134,#e4a486
2023_A_Merry_Scottish_Christmas_man-removebg-preview.png,73.40957441483995,Light,232,165,134,#e8a586
2019_A_Cheerful_Christmas_man-removebg-preview.png,73.86246025694517,Light,232,167,133,#e8a785
2019_Christmas_at_Graceland_Home_for_the_Holidays_man-removebg-preview.png,74.62656589193824,Light,232,170,136,#e8aa88
2023_A_Merry_Scottish_Christmas_woman-removebg-preview.png,77.51115886487294,Light,237,179,148,#edb394
2020_Chateau_Christmas_man-removebg-preview.png,77.92806405570295,Light,238,180,152,#eeb498
2015_Just_in_Time_for_Christmas_woman-removebg-preview.png,92.46106294548204,Very Light,241,232,223,#f1e8df
